character,frequency,onyomi,kunyomi,jlpt,meaning,keyword,story1,story2
婦,671,フ,よめ,2,woman; wife; bride,lady,"In high society, a lady is a woman who never touches a broom or an apron.",The LADY of the house is nothing more than a WOMAN who's a HOUSEWIFE (BROOM and APRON anyone?)
富,644,フ フウ,と.む とみ,2,enrich; abundant,wealth,Remember Ducktales? That rich duck had that room in his house where he kept all the wealth! He had so much in that house you could even swim in it!,"In ancient Japan, a RICE FIELD is a unit of wealth as it can produce enough to feed all the MOUTHs in ONE HOUSE."
冨,1906,フ フウ,と.む とみ,,enrich; wealthy; abundant,,,
布,877,フ ホ,ぬの し.く きれ,2,cloth; spread; distribute,linen,A matador holding his red linen by his side.,"The first rule of the Hitch-Hiker's Guide to the Universe is ""DON'T PANIC!"" The second rule, of course, is to always have a towel by your side. Personally, I prefer the linen sort."
府,170,フ,,2,borough; urban prefecture; govt office; representative body; storehouse,municipality,"A municipality, like any type of government, adheres to having caves for offices (see 庁 (#591)).","Even if a municipality is in a cave, you have to adhere to its policies."
怖,1325,フ ホ,こわ.い こわ.がる お.じる おそ.れる,2,be frightened; fearful,dreadful,Someone in a dreadful state of mind has crawled into his bed and is hiding under the sheets (linens).,From the Hitchhikers Guide to the Galaxy: Dreadful: (n) The state of mind of a frood who doesn't have a towel at his side.
扶,1879,フ,たす.ける,1,help; assist,aid,"In Homer Simpsons' house, the first aid kit is usually used for when he smashes his fingers trying to build something (there are countless Simpsons episodes you can draw from for this).","Band-Aids were invented by a husband for his wife, who would regularly injure her fingers while cooking. http://en.wikipedia.org/wiki/Band-Aid."
敷,1212,フ,し.く -し.き,1,pave; sit; promulgate,spread,Arrowheads are spread all over the field. The taskmaster profiteerer forces you to find them all using a compass.,"Instead of being glued to one 専 (#47) 専, I decided to spread my attention in many directions 方, and be a taskmaster at none."
斧,,フ,おの,,ax,hatchet,"Father is sitting on top of an axe, and when I ask why he says, “Axe? It’s a hatchet, and I’m trying to hatch it”.",The hatchet is the father of all axes.
普,757,フ,あまね.く あまねし,2,wide(ly); generally; Prussia,universal,People at Universal Studios wait in rows so long that the sun goes down.,"To me, row is way too close to 列 (#875), so I'm adopting Fab's meaning of rowboat from the previous frame. Universal Studios went through a number of logo animations before settling on the one they are most famous for: the letters UNIVERSAL orbiting the Earth. One of the most ridiculous of these involved a man rowing himself in a boat around the sun."
浮,776,フ,う.く う.かれる う.かぶ う.かべる,2,float; rise to surface,floating,Floating rubber ducky!!!,"A nest of fledglings somehow fell into the water (maybe it was perched on a tree bending over the river), but they are safe for now as the nest is floating. The fledglings are enjoying the cruise but they are soon coming to a great waterfall... ( a little drama to help us remember the story)."
父,646,フ,ちち,4,,father,"Luke, I am your father. Darth Vader (really surprised nobody put this one up before: 2 laserswords).","Not to confuse anyone, but I think if you put your mind to it, you can see the image of a father here. The first two strokes take on the form of his eye brows, and the third and fourth stroke make up the nose and mustache."
符,1798,フ,,2,sign; mark; tally; charm,token,"I dropped my token down the drain, so I used a piece of bamboo with chewing gum on the end to retrieve it.","At the arcade, Mr. T adheres a bamboo rod to his token so that he can put it in the machine and pull it out repeatedly."
腐,1225,フ,くさ.る -くさ.る くさ.れる くさ.れ くさ.らす くさ.す,1,decay; sour,rot,The rotting meat adheres to the cave walls.,Smaller municipalities are well known for filling their budgets with pork (meat). Thats why they are also well known for being rotten.
膚,1679,フ,はだ,2,body; grain; texture; disposition,skin,"Ending up in a tiger's stomach is not good for your skin, as it's full of stomach acids.",TIGGER only has visible SKIN on his STOMACH. The rest of his body is covered in orange fur.
芙,2238,フ,,1,lotus; Mt Fuji,lotus flower,"[+woelpad] In a certain culture, there is a ritual carried out when a girl is quite young (young enough, in fact, that they do it before they are considered a woman in that culture - for the same reason that some cultures do not name a baby until they are sure it will live) - she must go on a vision quest for a lotus flower and look inside it to see the face of her husband - then report back.. Imagine a poor flower girl's dismay when she looks into the lotus flower and sees the face of Homer Simpson!",There's a popular myth amongst flower girls that the face of their future husband is hidden inside a lotus flower.
譜,1919,フ,,1,music; note; staff; table; genealogy,musical score,Musical scores are in a universal language.,"A musical score can be read, but not like ordinary words. Music is a universal language."
負,443,フ,ま.ける ま.かす お.う,2,negative; -; minus; bear; owe; assume a responsibility,defeat,"Tied up, the shellfish had to accept defeat!",The shellfish admitted defeat when they placed a hook on top of his head.
賦,,フ ブ,,1,ode; prose; poem; tribute; installment,levy,A warrior stands guard at a bridge collecting shells as a levy for any who want to pass.,"""Drove my Chevy to the levy but the levy was dry. And those good old warrior boys, drinking whiskey and rye, said pay up the clams or you'll die. Pay up the clams or you'll die..."""
赴,1649,フ,おもむ.く,1,get; become; tend,proceed,"""Don't run into trouble,"" Dumbledore tells Harry. ""Proceed with caution with your wand out.""","You go through airport security. ""Proceed,"" mumbles the guard after he wands you. You run like crazy, because you're late for your flight."
阜,1532,フ フウ,,,hill; mound; left village radical (no. 170),large hill,The maestro lives on top of a large hill so that he can play music at over ten decibels without anyone giving a damn.,"Note to those who have not got this far in the book: This is the full kanji for the Pinnacle primitive (i.e. only the left-hand version of the primitive). The full kanji for the City Walls primitive is 邑 (#2296). Beyonce went for an invigorating walk up a large hill on a summer's afternoon. Since the grass was so lush and cool, she took off her sandals and immediately stepped on a used hypodermic needle. 岐阜県　ぎふけん Gifu Prefecture."
附,2396,フ,つ.ける つ.く,1,attach; refer to; append,affixed,A sign was AFFIXED on the PINNACLE of the Acropolis so that tourists would ADHERE to the rules.,Signs are affixed to walls in The Pinnacle to ensure tourists adhere to the rules.
侮,2004,ブ,あなど.る あなず.る,1,despise; make light of; contempt,scorn,Mr. T has scorn for every fool.,People full of scorn tend to hate every person (including themselves).
撫,2402,ブ フ,な.でる,,stroke; pat; smooth down,petting,"I was petting my pet, but when I looked at my fingers I saw . . . nothingness – my pet had bitten them off.",I pet my pet with my fingers so hard... he was reduced to nothingness.
武,387,ブ ム,たけ たけ.し,2,military; chivalry; arms,warrior,ONE-ARROW can STOP a warrior.,A great warrior can stop any 0pponent with one arrow.
舞,655,ブ,ま.う -ま.う まい,2,flit; circle; wheel,dance,The yakuza boss reclines in the oaken bathtub wearing his shades while his personal harem dances nakes for him.,I learned 無 (#1913) first because it is a very common kanji. Probably easier to think of this kanji in that context. Attractive dancers should dance wearing nothing but sunglasses.
葡,,ブ ホ,,,wild grape; Portugal,grape,"Grapes are totally a conspiracy, I'm telling you. They're pretty little plants with flowers that grow in clusters, and they are sweet, I know, but...Bound up in each little grape (the skin is like a wrapping) is a tiny RFID tag that the government uses to spy on you. That's why they sell them in such large quantities for so cheap - if you ""pass"" a few of them out, no matter - odds are that at least one will stay inside you. They especially push them on kids.",My offspring ate all the grapes off the 萄 (#2462)!
蕪,,ブ ム,かぶ かぶら あれる,,,turnip,"Turnip flowers? Gross, but at least it's better than nothing to eat.",Turnips just taste like nothing to me.
部,36,ブ,-べ,2,bureau; dept; class; copy; part; portion; counter for copies of a newspaper or magazine,section,"Within the city walls, this section of town was so noisy that we had to muzzle them up.","""Section 8 housing"" is a way to muzzle the impoverished people who are unable to pay rent but want to live inside the city walls."
封,1143,フウ ホウ,,2,closing,seal,The king used a special seal of ivy leaves glued onto his document.,Squared jewels with the right measurements receive the jeweler's seal of approval.
楓,,フウ,かえで,1,maple,maple tree,"How do you know if a tree is a maple tree? Easy: Just stand next to the tree on a windy day, and if you get covered in maple syrup, it's a maple tree.","Hint: Do not confuse between the wind primitive and the 風 (#563) kanji. The latter I call wind with gnats. (+Katsuo). How do you know if a tree is a maple tree? Easy: Just stand next to the tree on a windy day, and if you get covered in of maple syrup and gnats, it's a maple tree."
風,558,フウ フ,かぜ かざ-,3,air; style; manner,wind,They say that when an INSECT flaps its wings even the single DROP of WIND that it creates is sometimes enough to create a hurricane on the other side of the Earth.,"The WIND usually carries things around in it - drops of rain or snow, and lots of insects."
葺,,シュウ,あし ふ.く ふき,,thatch; cover; shingle; tile,shingling,"When shingling with flowers, they can often block up your mouth and ears unless you wear the proper safety gear.","Flower, deaf: The deaf guy was shingling the roof of his house with flowers (ecohouse). Being deaf was an advantage since he didn't hear the comment of his neighbours."
蕗,,ロ ル,ふき,1,bog rhubarb,butterbur,"In Aikita, the butterbur grow so huge that they use them to line public walking paths. The large flowers at the top (don't get it confused - they may look like leaves, but they are really just broad, green flowers) provide shade and make for a very pleasant public path way. Check it: http://hojinashi.cocolog-nifty.com/photos/uncategorized/101.jpg.",Butterbur flowers can be seen along the path.
伏,1604,フク,ふ.せる ふ.す,1,bend down; bow; cover; lay (pipes),prostrated,"Don't need a silly story for this one: prostration is when a person puts themselves in a low position like a dog, as an extreme gesture of humility.","Mr T has beaten up the chihuahua, who lies prostrated in front of him. ""Now,"" Mr T says, ""I quiero some Taco Bell!"""
副,360,フク,,2,assistant; aide; duplicate; copy,vice-,"The wealthy guy with the sword standing next to the king, that's the vice-roy who does all the dirty work.",Vice-president Cheney: a wealthy saber rattler.
復,438,フク,また,2,return to; revert; resume,restore,"Before going all the way to the Boss in a Final Fantasy game, you should probably double back to save at a restore point.",The column of soldiers has to double back to restore the peace in the village they just left.
幅,641,フク,はば,2,width,hanging scroll,"In the west, the rich use $100 bills to light their cigars... In Japan, after showering, when the wealthy don't have any clean towels, they simply grab a hanging scroll off the wall and use it to dry off!",The towels of the wealthy: hanging scrolls.
服,873,フク,,3,admit; obey; discharge,clothing,"It's customary to cover the flesh with clothing, but some designs are so outrageous they're not bigger than a stamp that just covers your crotch.",Modern clothing shows a lot of flesh -- some is practically no more than a postage stamp covering your crotch!
福,467,フク,,2,fortune; luck; wealth,blessing,"This recalls the selling of indulgences in the history of the Church (As an aside, Protestantism began as a protest of this practice). Basically, one gave wealth to the altar (i.e. priest) and received a blessing. If you prefer a Jewish version, think of the donation (wealth) that is expected when you're called to the ark (altar in the kanji) to give a blessing over the torah.",Put all your wealth on the church altar and receive one blessing. (You stand up out of your wheelchair or something.)
腹,1286,フク,はら,2,belly; stomach,abdomen,The only body part that doubles over.,"Imagine getting punched in the abdomen, a fairly tender part of flesh, and instead of doubling forward, you double back. That would be pretty painful."
複,915,フク,,2,double; compound; multiple,duplicate,"My girlfiend saw someone wearing the exact same (duplicate) outfit at a party, so she doubled back to change!","In Harry Potter and the Prisoner of Azkaban, Hermione uses a device called a ""time-turner"" to double back in time, but this creates duplicates. The smart thing to do would be to combine Hermione's time-turner with Harry's invisibility cloak. That way, one could double back in time without creating any visible duplicates."
覆,1378,フク,おお.う くつがえ.す くつがえ.る,1,cover; shade; mantle; be ruined,capsize,"The U.S.S. Old West has capsized, and all the cowboys on board are trying to restore her upright.","Remember Oregon Trail? Remember how you had to float your wagon across rivers to get to the Old West? Well, sometimes that wagon capsizes. Once that happens you'd better quickly head to the nearest town to restore."
淵,1593,エン カク コウ,ふち かた.い はなわ,,abyss; edge; deep pool; the depths,abyss [old],"The abyss [old] used to be the water you were pushed into if you lost in the arm wrestling match. (the primitive to the right screams two guys arm wrestling on a table, any one else see it?)","チャレンジャー海淵, 剣淵町 淵 (#2971) エン, ふち, ... Parts:氵, 片, 一, 片＊ (cf: 片道片 (#1297), 甘肅省肅) ... Note: 異体字 for 渕渕 (#2416). Even though Heisig calls this the Old version of 渕, 淵 is on the official name kanji list, and 渕 is not. ... Story: 0ld bridge across the Old Abyss over Water from One sided to the Other Sided, with just One ropeded."
弗,,フツ ホチ,どる ず,,dollar,,,
払,813,フツ ヒツ ホツ,はら.う -はら.い -ばら.い,2,clear out; prune; banish; dispose of,pay,"You're at a restaurant and raise your finger to indicate to the waiter that you want to pay. Your friend elbows you in the ribs -- it's his shout, and he insists on taking care of the bill.","You are walking out of the restaurant when the waiter uses his FINGERS to grab you at the ELBOW and says, ""excuse me sir, didn't you forget to PAY?"""
沸,1709,フツ,わ.く わ.かす,2,boil; ferment; uproar; breed,seethe,"Re CharleyGarrett: This liquid looks like ordinary water, but it will instantly seethe when it comes in contact with counterfeit dollar bills. The inventor must be rich (and probably has dollar signs in his eyes).","When his daughter used a lot of water for her shower, the father could practically see the dollar signs, so he was seething with anger."
仏,819,ブツ フツ,ほとけ,2,the dead; France,Buddha,"Mr. T says, ""I ain't afraid o' no foo! I'll give anyone an elbow to the face, I don't care if it's Buddha himself!""",Buddha is a person who always seems to have his elbows bent.
物,215,ブツ モツ,もの もの-,3,object; matter,thing,"The cow's ""thing"" is tied in a knot! ouch.",A cow is not a thing. Its an animal. If you study japanese you know that living beings and things are discerned from each other with the verbs iru and aru.
鮒,,ホ フ ブ,ふな,,carp,crucian carp,The crucian fish adheres strongly to Crucianism principles.,"Crucian carp (ふな) is a freshwater fish most well known for its use in 鮒鮓 (ふなずし) which is an ancient forerunner to modern sushi.The fish is salted and allowed to ferment over a period of months. STORY: The crucian chefs prepare the fish for funazushi by adhering to the ancient ways. Note: This old way of preserving fish, known generally as なれずし (馴れ鮓 or 熟れ鮓), uses a rare kanji for すし - 鮓 鮓."
分,24,ブン フン ブ,わ.ける わ.け わ.かれる わ.かる わ.かつ,4,minute of time; segment; share; degree; one's lot; duty; understand; know; rate; 1%; chances; shaku/100,part,"When something is entered by a dagger, it ends up being cut in several parts.","(This kanji also has the meanings of ""understand"" and ""minute""). It's important to understand that were you to enter an hour with a dagger and cut it into parts, those parts would be minutes."
吻,,フン ブン,くちわき くちさき,,proboscis,sides of the mouth,Look at the sides of his mouth! His moustache is tied into great knots. They're not even symetrical. Look at the knots on the right side of the mouth! (though they're there on both sides of the mouth....,Dimples. Those knots on the sides of the mouth. Too easy.
噴,1270,フン,ふ.く,1,spout; emit; flush out,erupt,History of Pompei: An unexpect eruption and from the mouths of the volcano come lava that threatens the farmers collecting haystacks in the fields and the fisherman catching shells on the coast.,"A bit nasty (but makes the whole thing much easier to remember) is to take the right side and call it a bearded clam. For erupt, you can make your own story about the mouth/opening on the left."
墳,1822,フン,,1,mound,tomb,After the eruption all is a tomb. The soil has covered the remains of the farmers gathering haystacks and of the fisherman collecting shells.,"Using soil and hay to make bricks, the Egyptians built the pyramids to entomb the Pharaohs along with all of their money."
憤,1863,フン,いきどお.る,1,resent; be indignant; anger,aroused,"Note: this word in Japanese has the idea of ""indignant"". So aroused here refers to being aroused because of anger over some unjust or wrong act, unfairness etc. It doesn't seem to carry a meaning associated with arousal in the sense of sex or pleasure. So, my story: think of the angry state of mind aroused at finding all your clams buried under your haystack stolen, gone!",Data was aroused/indignant when he saw what the volcano had done to the farmers building their haystacks and the fishermen collecting their shells . The tragedy of it all aroused him so much he didn't even notice he was feeling emotion.
扮,,フン ハン ヘン,ふん.する やつ.す よそお.う,,impersonate; dress up; thin shingles,disguise,"""How do you like my disguise?"" ""Umm... the fingers are only part of a disguise. You should really disguise the other parts of your body, too.. o.o"" (Imagine the guy is just wearing camouflage gloves or something along those lines.)","If I cover part of my face with my fingers, is that a good enough disguise?"
焚,,フン ホン ハン,た.く や.く やきがり,,burn; build a fire; boil; cook,kindle,"I'm really bad at making fires, I needed kindling from a whole grove of trees before I managed to kindle the fire.","A fire was kindled by the insane arsonist under a grove of trees. Unable to escape the ensuing inferno, he was burned alive."
奮,1521,フン,ふる.う,1,be invigorated; flourish,stirred up,The St. Bernard dog pounces on a turkey in a rice field and stirs up all the other birds around. See them all gobble gobbling in fear?,"Gruesome, but it makes it easy to remember. Here goes: The St. Bernard stirred up a crowd of turkeys and caught one. It bit the head, brains spilling onto the rice field."
粉,1484,フン,デシメートル こ こな,2,powder; dust,flour,Parts of parts of parts of parts of rice... is flour. (Image: geishas patting their face with RICE flour to make it white. Not wheat flour...),"In Japan, rice flour is part of a balanced diet. Mmmm, mochi..."
糞,2473,フン,くそ,,shit; feces,excrement,"Rice is easy to digest, so if you poke through your excrement, finding bits of rice is uncommon.","It is uncommon to find rice in your excrement. Corn, on the other hand..."
紛,994,フン,まぎ.れる -まぎ.れ まぎ.らす まぎ.らわす まぎ.らわしい,1,be mistaken for; go astray; divert,distract,"Spiderman got distracted when someone yelled, ""Spiderman, wait a minute."" He turned around and flew into a building. (""part"" also means ""minute"").","Due to the distractions of being a super-hero, spiderman can only work part-time. (variation on ayoung24's story)."
雰,1341,フン,,1,fog,atmosphere,"(This is atmosphere as in ambiance, mood). Rain is only part of the atmosphere for a romantic porch date. Food, music, and candles are the rest.",The part of the sky that is responsible for weather and rain is known as the atmosphere. It only occupies part of the sky though.
文,190,ブン モン,ふみ あや,3,literature; style; art; decoration; figures; plan; literary radical (no. 67),sentence,"A twist on greenapple: The teacher puts a tophat on all pupils with gramatically correct sentences, while the rest are left with a big red X on their homework.",The teacher in the tophat puts an X on all the grammatically incorrect sentences.
聞,319,ブン モン,き.く き.こえる,4,ask; listen,hear,Press your ear to the gates and see if you can hear what is going on inside.,"To distinguish from listen, you hear someone at the door (gate)."
丙,,ヘイ,ひのえ,1,3rd; 3rd calendar sign,third class,"In this third class flight, the seatbelts are so bad that with the slightest turbulence all the persons hit the ceiling. (it's almost pictographic here!)",Travelling by ship third class the cabins are all inside (no windows) and the ceilings are so low you hit your head.
併,966,ヘイ,あわ.せる,1,get together; unite; collective,join,"Mr. T furiously works a puzzle in an attempt to join Mensa, the high-IQ society.","""Why do I gotta join these two puzzle pieces? I ain't got time for joining no jigsaw-jabba!"" Mr. T apparently gets a severe case of crankypants when doing puzzles."
兵,522,ヘイ ヒョウ,つわもの,2,private; troops; army; warfare; strategy; tactics,soldier,"Listen up soldiers! We're going to take that hill. You are no longer men with human legs. You are voracious animals, with animal legs! Got it? Animal legs! Now take that hill!","The hill is so steep that you almost have to have animal legs to walk on it. However, the soldiers have no problem because they've been trained to march there."
塀,1991,ヘイ ベイ,,1,wall; (kokuji),fence,"[fence; wall; (kokuji)] A fence separates one soil from the other. On a large scale, large pieces of soils in the world have a virtual fence called nation. Picture a world map where all countries have their soil with one color, their national flag as the legend and a fence on the borders... don't you think it looks like a giant puzzle?","Why the Earth has to be fenced off and flags used to represent each ""country"" is a puzzle to me - we're all just monkeys on a big rock spinning round the Sun!"
幣,1803,ヘイ,ぬさ,1,bad habit; humble prefix; gift; Shinto offerings of cloth; rope; cut paper,cash,A counterfeiter is using a shredder to shred a towel in order to print up some cash (he needs some rag paper) .,"In order to create some cash, first you feed a towel through a shredder to get the raw materials. (""Paper"" money isn't plain paper; it's mostly linen.)"
平,128,ヘイ ビョウ ヒョウ,たい.ら たい.らげる ひら,2,flat; peace,even,There's an even covering of water lilies on the pond at 金閣寺（きんかくじ） the Golden Pavilion in Kyoto.,"Even if Heisig showed me in person, I still wouldn't believe that this is a water lily. I don't get it."
弊,1750,ヘイ,,1,evil; vice; breakage,abuse,"You’ve heard of Edward Scissor hands? Well this is Medward Shredder Hands. Instead of nicely trimming your shrubs, he uses his TWO SHREDDER equipped HANDS to ABUSE your plants by shredding them into wood chips.",Mafioso abusing someone to get information. They use a shredder on both of his hands.
柄,1140,ヘイ,がら え つか,1,pattern; build; nature; character; handle; crank; grip; knob; shaft,design,Half Way!!!!,"This is a ""design"" as in a ""pattern"", not a verb as in ""to design"". The tree grain design was too expensive for the third class airline to use for the panelling. They just painted it."
並,599,ヘイ ホウ,な.み なみ なら.べる なら.ぶ なら.びに,2,and; besides; as well as; line up; rank with; rival; equal,row,"This is a simplification of 竝, a ideogram of two people standing in a row.","Hint : as a primitive I use the image of a rowing boat. In a rowing boat people sit in rows, but also side-by-side (another meaning of the kanji), working together (yet another meaning of this kanji). Note : there will also be a kanji for ""rowboat"" coming at frame 1876. The rowing boat is associated with the sport, and is a primitive, while the kanji for ""rowboat"" has a generic meaning of ""a small boat"". In any case, the kanji for ""rowboat"" will not appear as a primitive in the book."
蔽,,ヘイ ヘツ フツ,おお.う おお.い,,cover; shade; mantle; capsize; be ruined,cover over,You cover over the shredder with flowers when the FBI comes a-knockin'.,"Shredder is writing a anonymous ransom note to the police. ""Bring me one billion dollars or I'll destroy your city with my Foot Soldiers! Signed, Shredder."" ...oops! This was supposed to be anonymous, but he signed his own name! He can't re-write it now, he spent all that time doing the letter in beautiful calligraphy. What to do? ...Thinking fast, Shredder grabs a large daisy and some tape, and covers over his name, leaving only the ""-er."" Good thinking, Shredder!"
閉,951,ヘイ,と.じる と.ざす し.める し.まる た.てる,2,shut,closed,"The gates are too big to be closed by man. Only a genie can. ""Close sesame!""","You hear lesbians moaning ""オォ~"" from behind closed gates, and you ask a genius how to get in there."
陛,1429,ヘイ,,1,steps (of throne),highness,Your highness is the pinnacle of finesse compared to all of us commoners who are but like dirt on the ground.,"His Highness, the main man at the Pinnacle, often compares those who live outside the city's walls to dirt."
米,61,ベイ マイ メエトル,こめ よね,2,USA; metre,rice,Stroke order: I like to think of the first two strokes as “chop sticks” with which one eats the rice. The rest then is the “tree” meaning “plant” in this contexct. also: USA.,"Two drops of rice in a tree, simple."
頁,,ケツ,ぺえじ おおがい かしら,,leaf,page,A shellfish carrying a page balanced on its head.,One drop of ink from a shellfish can fill a whole page.
僻,,ヘキ ヒ ヘイ,へき.する ひが.む,,prejudice; bias; rural area,,,
壁,1037,ヘキ,かべ,2,lining (stomach); fence,wall,Did anyone else used to put ketchup packets on the ground and jump on them so they spattered on the wall?,"Primitive for Ketchup: When the taste is too spicy your mouth has basically given up trying to handle it ..or in other words raised the white flag of surrender. But unlike war , putting Ketchup on it will usually solve the problem. Wall(dingomick); Did anyone else used to put ketchup packets on the ground and jump on them so they spattered on the wall?"
癖,1973,ヘキ,くせ くせ.に,1,habit; vice; trait; fault; kink,mannerism,Caveman has a bad mannerism of putting ketchup on everything he eats. I guess that's ok since raw mammoth can't be too good...,This mannerism is a sickness of the modern generation. It was only recently that we started putting ketchup on everything.
碧,2455,ヘキ ヒャク,,1,blue; green,blue-green,"Notes: 珀 (not in Heisig) means ""amber"". Story for both: A bus is stopped at some traffic lights in Japan. Inside, King Henry VIII and Barry White are arguing over whether the lights are yellow or amber. The lights change to ""Go"", and Mick Jagger (stone) then joins a new argument over whether the lights are blue or green. They compromise on blue-green.",The rarest form of amber is a blue-green stone. (http://en.wikipedia.org/wiki/Blue_amber).
別,214,ベツ,わか.れる わ.ける,3,branch off; diverge; fork; another; extra; specially,separate,I don't know about you but to me this seems like someone's head is about to be separated from his body. You can see he's kneeling and his mouth is wide open gasping for the last breath he will ever take.,A wise old samurai keeps his hostages (with their mouths bound up to keep them quiet) in a separate room from his sabers. Putting them together would be a silly mistake.
瞥,,ベツ ヘツ,,,glance at,glimpse,My sharp eye caught a glimpse of the confidential information before it went through the shredder.,"As the taskmaster makes me get down on my knees to clean the floor with rags, my eye catches a glimpse of her panties."
蔑,2483,ベツ,ないがしろ なみ.する くらい さげす.む,,ignore; despise; neglect; ridicule,revile,"They gays were reviled by society, so they put flowers above their eyes and marched around.","Note: Whether you see a ""drop"" or a ""one"" in the bottom left of 蔑 depends on the font your computer is using at the time. Newer fonts prefer the ""one""."
箆,,ヘイ ハイ,へら の くし,,arrow shaft,spatula,"Compared to before when Japanese mothers used to throw a hood over their naughty kids and beat them bloody with bamboo, the modern ""kitchen-discipline by spatula"" seems much more civilized.","Compare the effectiveness of beating a person with bamboo, a belt, and a spatula."
偏,1340,ヘン,かたよ.る,1,side; left-side radical; inclining; biased,partial,Mr. T is very partial to hentai comic books. I know because he dropped a pile of them when I accidentally bumped into him at the door to kinokuniya!,"Mr. T is partial to konbini hentai. He reads them for hours every day after work at his local konbini. (Primitive: KONBINI HENTAI, all the magazines(scrapbooks) by every konbini door in Japan)."
変,238,ヘン,か.わる か.わり か.える,2,change; strange,unusual,It's quite unusual and abnormal to see an apple with walking legs running away from the person who wants to eat it!,"Imagine an apple on walking legs on stage singing ""It's not unusual to be loved by anyone"" (Tom Jones). Keyword can be confused with 異 (#1936)."
片,1076,ヘン,かた- かた,2,leaf; sheet; right-side kata radical (no. 91),one-sided,Fuaburisu's pictograph of a man kneeling and presenting the ring to his future wife is a one-sided version of the story. Others say he was giving her the finger.,"Taking the keyword in the sense of only one part of a whole, I see this as a pictograph of a man kneeling and presenting the ring to his future wife (I couldn't see any trees or branches in there)."
篇,2076,ヘン,,,volume; chapter; book; editing; compilation,livraison,"Each livraison (installment) of the scrapbook is delivered by post, and sits resting on your doorstep for when you get home. Of course, it might blow away so the postman has put heavy bamboo blocks on top of it.","Bamboo, konbini hentai: The special issue of the popular konbini hentai is divided into different livraisons (installment). Each comes with a small piece of bamboo, which are - after obtaining all livraisons- combined in a bamboo nude statue the female main character!"
編,591,ヘン,あ.む -あ.み,2,knit; plait; braid; twist; editing; completed poem; part of a book,compilation,I took the compilation of covers of all my Spider-Man comics that I had saved in a scrapbook and glued them on my door.,"Whereas Mr.T was partial to KONBINI HENTAI, SPIDERMAN likes to wait for the COMPILATION. He finds it more convenient to have his hentai compiled in one volume to read on the loo."
辺,428,ヘン,あた.り ほと.り -べ,2,boundary; border; vicinity,environs,"Caution: this kanji doesn't mean environment; it means ""environs; boundary; border; vicinity"". To separate the environs, create the border by placing daggers on the road.","To protect the environs around their village, samurai would travel the roads with their swords."
返,685,ヘン,かえ.す -かえ.す かえ.る -かえ.る,2,answer; fade; repay,return,"Return here means ""return something"" rather than ""go back"". So here it goes, for those of you who are also suffering of the Japanese summer ;-) I ordered an anti mosquito kit, but it was damaged on the way so I had to return it.",Pretty obvious: to return is to turn back on the road you're on and go the opposite way.
遍,1845,ヘン,あまね.く,1,times; widely; generally,everywhere,"Go down the road in Japan and you will find comics EVERYWHERE, newpaper stands, 7-11, Tsutaya, even the supermarket. Comics are everywhere here along the road.",Go down any road in Japan and you'll find konbini hentai everywhere.
便,729,ベン ビン,たよ.り,3,facility; excrement; feces; letter; chance,convenience,"Mr. T loves the convenience of the new konbini. Not only does it stay open even if it grows late, they have brand new toilets, and a Post Office!","Mr. T takes a dump on the floor of a convenience store. Well, it was growing late and he couldn't wait. He pities the fool who will have to clean it up!"
勉,1066,ベン,つと.める,3,endeavour; encourage; strive; make effort; diligent,exertion,Notice how BUGS BUNNY's legs (hint about stroke extension) are starting to get big MUSCLES? It must be because he's always EXERTING himself on the run from Elmer Fudd (or from kicking the shit out of Elmer Fudd when he catches up!!).,Hint: Energizer bunny.
娩,,ベン,,,bear (children),,,
弁,619,ベン ヘン,かんむり わきま.える わ.ける はなびら あらそ.う,1,petal; braid; speech; dialect; discrimination; dispose of; distinguish; conical cap,valve,Opening a stuck valve requires 2 hands and a lot of elbow grease.,"Opening a stuck valve requires 2 hands, and on top of that, a lot of elbow grease. (thanks scottamus)."
鞭,,ベン ヘン,むち むちうつ,,rod; counter for whippings,whip,There's a leather section in the convenience store now – that's where I got this whip.,A whip is leather that makes others do things at your convenience.
保,146,ホ ホウ,たも.つ,2,guarantee; keep; preserve; sustain; support,protect,Tip: Heisig later combines mouth and tree into 呆 呆 (#2181). Story: Your person (Mr. T. or whoever) is dumbfounded when told to protect the bad guys rather than fight them.,"Mr. T opens his mouth from the top of the tree saying ""I pitty da foo who don't protect the trees!"""
舗,1412,ホ,,1,store; pave,shop,A shop in an impoverished country is just a cottage with a dog tag identifying it.,"Normal cottages (舎 actually means a building) don't have tags advertising their names, but shops do."
鋪,,ホ フ,しく みせ,,shop; store,shop [alternate],"At an alternative shop you can buy strange items like metal dogtags from wars, active grenades, torture sets, etc.",Understandable that the alternate shop is more successful than the regular 舗 舗 (#1982): trendy metal motif instead of that dingy cottage look.
圃,,ホ フ,はたけ にわ,,garden; field,vegetable patch,"Think of a vegetable patch owned by a perfectionist, where every group of crops is pent in and separated accordingly, and every single crop is dogtagged and earmarked.","My offspring is supposed to be weeding my vegetable patch, but he keeps running off to play. So I put an electric fence around the veggie patch to pent him in. Now he's hard at work in there!"
